File name	Line	Function	Duration[ms]	Explored nodes
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\Common\CommonService.cs	28	_GrowIndigo.BAL.BussinessServices.Common.CommonService.CheckMobileNumberExits$string$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\Common\CommonService.cs	33	_GrowIndigo.BAL.BussinessServices.Common.CommonService.CheckExistingMobileNumber$string$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\Common\CommonService.cs	38	_GrowIndigo.BAL.BussinessServices.Common.CommonService.CheckExistingMobileNumberforLogin$string$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\Common\CommonService.cs	43	_GrowIndigo.BAL.BussinessServices.Common.CommonService.CheckOTPForLogin$GrowIndigo.DAL.DataModels.CommonModels.LoginViewModel$	0	6
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\Common\CommonService.cs	73	_GrowIndigo.BAL.BussinessServices.Common.CommonService.CheckExistingMobileNumberForLogin$string$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\Common\CommonService.cs	93	_GrowIndigo.BAL.BussinessServices.Common.CommonService.GetAddressForUser$string$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\Common\CommonService.cs	99	_GrowIndigo.BAL.BussinessServices.Common.CommonService.GetCartDetails$string$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\Common\CommonService.cs	105	_GrowIndigo.BAL.BussinessServices.Common.CommonService.GetCompanyProduct$$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\Product\ProductService.cs	54	_GrowIndigo.BAL.BussinessServices.Product.ProductService.GetProductDetail$string$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\Product\ProductService.cs	60	_GrowIndigo.BAL.BussinessServices.Product.ProductService.AddOrderDetails$GrowIndigo.DAL.DataEntities.Shop_Product_Master.string$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\Product\ProductService.cs	96	_GrowIndigo.BAL.BussinessServices.Product.ProductService.TotalPrice$string.string$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\Product\ProductService.cs	108	_GrowIndigo.BAL.BussinessServices.Product.ProductService.CheckCartProduct$string.string$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\Product\ProductService.cs	114	_GrowIndigo.BAL.BussinessServices.Product.ProductService.GetAllProductList$int.int.string.string.string.string.string.string.int.int$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\Product\ProductService.cs	121	_GrowIndigo.BAL.BussinessServices.Product.ProductService.GetSubCategoryProductList$int.int.string.string.string.string$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\Product\ProductService.cs	128	_GrowIndigo.BAL.BussinessServices.Product.ProductService.GetManufactureDetailsProduct$$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\Product\ProductService.cs	138	_GrowIndigo.BAL.BussinessServices.Product.ProductService.CheckMinProductPrice$$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\Product\ProductService.cs	144	_GrowIndigo.BAL.BussinessServices.Product.ProductService.CheckMaxProductPrice$$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\App_Start\UnityConfig.cs	8	_GrowIndigo.BAL.UnityConfig.RegisterComponents$$	0	3
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\User\UserServices.cs	112	_GrowIndigo.BAL.BussinessServices.User.UserServices.CheckUserProfileUpdated$string$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\User\UserServices.cs	118	_GrowIndigo.BAL.BussinessServices.User.UserServices.GetCartDetailByMobileNumber$string$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\User\UserServices.cs	124	_GrowIndigo.BAL.BussinessServices.User.UserServices.DeleteCartProduct$long$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\User\UserServices.cs	132	_GrowIndigo.BAL.BussinessServices.User.UserServices.GetuserInfo$string$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\User\UserServices.cs	188	_GrowIndigo.BAL.BussinessServices.User.UserServices.AddAddreessForUser$GrowIndigo.DAL.DataModels.MandiModels.ShippingAddressViewModel$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\User\UserServices.cs	255	_GrowIndigo.BAL.BussinessServices.User.UserServices.UpdateOrderDeatils$GrowIndigo.DAL.DataModels.Order.OrderViewModel$	0	4
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\User\UserServices.cs	280	_GrowIndigo.BAL.BussinessServices.User.UserServices.DeleteCartProducts$string$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\User\UserServices.cs	299	_GrowIndigo.BAL.BussinessServices.User.UserServices.GetOrderHistory$string$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\User\UserServices.cs	306	_GrowIndigo.BAL.BussinessServices.User.UserServices.GetOrderList$GrowIndigo.DAL.DataModels.CommonModels.DTParameterModel.string$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\User\UserServices.cs	313	_GrowIndigo.BAL.BussinessServices.User.UserServices.Addcontact$GrowIndigo.DAL.DataModels.Contact.ContactViewModel$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowIndigo.BAL\BussinessServices\User\UserServices.cs	325	_GrowIndigo.BAL.BussinessServices.User.UserServices.GetOrderDetailByOrderId$int$	0	2
