File name	Line	Function	Duration[ms]	Explored nodes
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowMandi.Web\Controllers\AccountController.cs	41	_GrowMandi.Web.Controllers.AccountController.Index$$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowMandi.Web\Controllers\AccountController.cs	164	_GrowMandi.Web.Controllers.AccountController.CheckOTPForLogin$GrowIndigo.DAL.DataModels.CommonModels.LoginViewModel.string$	0	10
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowMandi.Web\Controllers\AccountController.cs	257	_GrowMandi.Web.Controllers.AccountController.CheckMobileNumber$string$	0	5
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowMandi.Web\Controllers\AccountController.cs	279	_GrowMandi.Web.Controllers.AccountController.CheckMobileNumberForLogin$string$	0	5
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowMandi.Web\Controllers\AccountController.cs	304	_GrowMandi.Web.Controllers.AccountController.LogOut$$	0	4
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowMandi.Web\Controllers\BaseController.cs	12	_GrowMandi.Web.Controllers.BaseController.Index$$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowMandi.Web\App_Start\BundleConfig.cs	8	_GrowMandi.Web.BundleConfig.RegisterBundles$System.Web.Optimization.BundleCollection$	0	3
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowMandi.Web\Controllers\CommonController.cs	22	_GrowMandi.Web.Controllers.CommonController.Index$$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowMandi.Web\Controllers\CommonController.cs	62	_GrowMandi.Web.Controllers.CommonController.ErrorPage$$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowMandi.Web\App_Start\FilterConfig.cs	7	_GrowMandi.Web.FilterConfig.RegisterGlobalFilters$System.Web.Mvc.GlobalFilterCollection$	0	3
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowMandi.Web\Global.asax.cs	13	_GrowMandi.Web.MvcApplication.Application_Start$$	0	3
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowMandi.Web\Global.asax.cs	39	_GrowMandi.Web.MvcApplication.Application_BeginRequest$$	0	3
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowMandi.Web\Controllers\HomeController.cs	41	_GrowMandi.Web.Controllers.HomeController.Index$$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowMandi.Web\Controllers\HomeController.cs	51	_GrowMandi.Web.Controllers.HomeController.About$$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowMandi.Web\Controllers\HomeController.cs	62	_GrowMandi.Web.Controllers.HomeController.Contact$$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowMandi.Web\Controllers\HomeController.cs	90	_GrowMandi.Web.Controllers.HomeController.Test$$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowMandi.Web\Controllers\LanguageMangController.cs	14	_GrowMandi.Web.Controllers.LanguageMangController.Index$$	0	2
E:\P.R.O.J.E.C.T.S\GrowIndigoWebApplication\Project\GrowMandi.Web\Controllers\LayoutController.cs	76	_GrowMandi.Web.Controllers.LayoutController.Terms$string.string$	0	2
